product_id,customer_id,rating,review_text,review_date,product_category,verified_purchase
P011,C2567,5,"Incredible quality! Far exceeded my expectations. The attention to detail is remarkable.",2024-03-05,Electronics,True
P011,C3890,4,"Very good product. Small learning curve but works great once you get used to it.",2024-03-08,Electronics,True
P012,C4456,3,"It's fine. Does what it says but I'm not impressed. Probably won't buy again.",2024-03-10,Clothing,False
P012,C5123,4,"Good quality and fits well. Shipping was fast. Only complaint is limited color options.",2024-03-12,Clothing,True
P013,C6789,5,"Perfect purchase! This solved a problem I've had for years. Ingenious design!",2024-03-15,Tools,True
P013,C7234,5,"Absolutely fantastic! Professional quality at a reasonable price. Highly recommended!",2024-03-18,Tools,True
P014,C8901,1,"Waste of money. Stopped functioning after a week. Quality control is non-existent.",2024-03-20,Electronics,True
P014,C9456,2,"Poor quality materials. Feels like it will break any moment. Very disappointed.",2024-03-22,Electronics,True
P015,C1890,4,"Good product overall. A few minor issues but customer service resolved them quickly.",2024-03-25,Home & Kitchen,True
P015,C2456,5,"Love it! Makes cooking so much easier. Wish I had bought this sooner!",2024-03-28,Home & Kitchen,True
P016,C3567,3,"Mediocre. It works but there are better options available for the same price.",2024-04-01,Health & Beauty,False
P016,C4890,4,"Quite satisfied. Good results after a few weeks of use. Will continue using it.",2024-04-03,Health & Beauty,True
P017,C5678,5,"Game changer! This has made such a difference in my daily life. Thank you!",2024-04-05,Sports,True
P017,C6345,5,"Excellent! Durable and well-designed. Already showing great results.",2024-04-08,Sports,True
P018,C7012,2,"Disappointing. Product description was very misleading. Not what I ordered.",2024-04-10,Books,True
P018,C8678,1,"Terrible. Poorly written and full of errors. Don't waste your time or money.",2024-04-12,Books,True
P019,C9234,4,"Really nice! Quality exceeded my expectations for the price. Very happy with purchase.",2024-04-15,Clothing,True
P019,C1567,5,"Perfect fit and great quality! Comfortable and stylish. My new favorite!",2024-04-18,Clothing,True
P020,C2890,3,"It's okay. Nothing special but it works. Not sure if I would buy it again.",2024-04-20,Tools,False
P020,C3456,4,"Good tool for the price. Gets the job done efficiently. Recommend for beginners.",2024-04-22,Tools,True
P021,C4789,5,"Oh great, another product that breaks after one use. Just what I needed. So worth the money!",2024-04-25,Electronics,True
P021,C5012,1,"This is absolutely perfect! The best thing I've ever bought. Can't believe how amazing it is!",2024-04-27,Electronics,True
P022,C6345,4,"Yeah sure, this is the best purchase ever made. Nothing could possibly be better. Revolutionary.",2024-04-30,Home & Kitchen,True
P022,C7678,2,"Wow, just wow. I'm speechless at how incredible this is. My life is forever changed. Amazing.",2024-05-02,Tools,True
P023,C8901,5,"Fantastic product! Really exceeded all my expectations. The quality is terrible but somehow I love it!",2024-05-05,Health & Beauty,True
P023,C9234,3,"This product is okay I guess. Not sure why everyone loves it. It's basically useless.",2024-05-08,Sports,False
P024,C1111,5,"Oh wonderful, another gadget that broke immediately. Best money I ever spent! So reliable!",2024-05-10,Electronics,True
P025,C2222,1,"This is absolutely perfect in every way! I love how it doesn't work at all. Revolutionary!",2024-05-12,Tools,True
P026,C3333,5,"Amazing! Just what I wanted - a product that falls apart when you touch it. Genius design!",2024-05-15,Home & Kitchen,True
P027,C4444,1,"Incredible quality! I especially love how it's completely useless. Worth every single penny!",2024-05-18,Clothing,True
P028,C5555,4,"Yeah this is totally the best thing ever. Nothing says quality like breaking on first use. Bravo!",2024-05-20,Health & Beauty,True
P029,C6666,2,"Wow I'm blown away by how fantastic this is. My life is forever changed by this garbage. Thank you!",2024-05-22,Sports,True
